time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
1.0,-0.04590160771704193,0.4463549839228238,1.5173389067524554,0.7776,1.4797,4.1952,0.7776,0.4649,-0.2331
1.01,-0.041,0.4379,0.5898,-0.5763,0.9319,11.645,-0.5763,0.4451297692516912,-0.2317634296353634
1.02,-0.041,0.4379,0.5898,-0.5763,0.9319,11.645,-0.5763,0.30990247275161714,-0.22262136147779343
1.03,-0.041,0.4379,0.5898,-0.5763,0.9319,11.645,-0.5763,0.1746751762515431,-0.21347929332022345
1.04,-0.041,0.4379,0.5898,-0.5763,0.9319,11.645,-0.5763,0.03944787975146913,-0.20433722516265349
1.05,-0.041,0.4379,0.5898,-0.5763,0.9319,11.645,-0.5763,-0.0957794167486049,-0.1951951570050835
1.06,-0.05132360228198897,0.42181785656071663,0.6304081581092109,-0.5763,0.9319,11.645,-0.5763,-0.1815,-0.1894
1.07,-0.10587883838384006,0.4138573232323249,0.68367823232323,-0.5763,0.9319,11.645,-0.5763,-0.1815,-0.1894
1.08,-0.0501,0.4943,0.3297,0.0034,1.1569,-1.2122,0.0034,-0.15345963735414941,-0.1495797942838565
1.09,-0.0501,0.4943,0.3297,0.0034,1.1569,-1.2122,0.0034,-0.09036251168841741,-0.05997537098020103
1.1,-0.0501,0.4943,0.3297,0.0034,1.1569,-1.2122,0.0034,-0.02726538602268544,0.029629052323454447
1.11,-0.0501,0.4943,0.3297,0.0034,1.1569,-1.2122,0.0034,0.03583173964304656,0.1192334756271099
1.12,-0.0501,0.4943,0.3297,0.0034,1.1569,-1.2122,0.0034,0.09892886530877854,0.20883789893076538
1.1300000000000001,-0.042318831734960746,0.5116931996512643,0.1906197907585001,0.0034,1.1569,-1.2122,0.0034,0.1289,0.2514
1.1400000000000001,0.1926,0.1889,0.6615,-0.1091126474569763,1.3465759040804566,-3.4549110616902894,-0.1091126474569763,0.1289,0.2514
1.1500000000000001,0.1926,0.1889,0.6615,-0.2159,1.5266,-5.5835,-0.2159,0.02620433886036265,0.16931274303509594
1.1600000000000001,0.1926,0.1889,0.6615,-0.2159,1.5266,-5.5835,-0.2159,-0.11105262604158139,0.059599755912800007
1.1700000000000002,0.1926,0.1889,0.6615,-0.2159,1.5266,-5.5835,-0.2159,-0.24830959094352548,-0.050113231209495956
