time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
1.0,-4.047899999999999,-1.3056000000000014,0.03669999999999851,33.071000000000005,2.5880000000000116,-3.1589999999999923,33.071000000000005,0.7289999999999992,-4.917000000000002
1.01,-3.988599999999998,-1.6864000000000035,-0.37970000000000403,33.592,6.15400000000004,-0.203999999999952,33.592,0.3599999999999933,-5.2509999999999994
1.02,-3.8065999999999973,-1.9245000000000008,-0.7021000000000026,33.11799999999998,9.332000000000026,3.8190000000000373,33.11799999999998,-0.2820000000000082,-5.115999999999996
1.03,-3.562299999999997,-1.9493999999999991,-0.8547999999999994,31.509999999999977,10.882,6.723000000000022,31.509999999999977,-1.0640000000000098,-4.699999999999994
1.04,-3.302699999999997,-1.8153999999999975,-0.744799999999997,29.452999999999975,10.407999999999983,7.825999999999992,29.452999999999975,-1.923000000000009,-4.226999999999995
1.05,-3.0305999999999966,-1.5626999999999966,-0.43039999999999523,27.241999999999976,8.574999999999969,6.481999999999971,27.241999999999976,-2.6640000000000064,-3.882999999999998
1.06,-2.7235999999999967,-1.2622999999999966,-0.009799999999995618,24.84999999999997,5.716999999999966,3.4259999999999557,24.84999999999997,-3.1450000000000027,-3.798000000000002
1.07,-2.407545454545452,-0.9850909090909072,0.35000000000000225,22.185454545454526,2.7136363636363416,-0.2518181818182058,22.185454545454526,-3.273636363636362,-4.035454545454549
1.08,-2.1189999999999993,-0.7695555555555552,0.6024444444444448,19.54666666666666,-0.0033333333333396276,-3.1966666666666734,19.54666666666666,-3.063333333333332,-4.518888888888891
1.09,-1.8619999999999979,-0.595599999999998,0.6668999999999987,16.984999999999978,-2.2860000000000182,-5.312000000000005,16.984999999999978,-2.630999999999995,-5.2620000000000084
1.1,-1.6843999999999981,-0.4160999999999979,0.5222999999999977,15.365999999999987,-4.014000000000022,-5.166999999999984,15.365999999999987,-2.221999999999996,-5.990000000000008
1.11,-1.5036999999999978,-0.2681999999999993,0.2892999999999968,14.273999999999987,-5.916000000000019,-3.455999999999976,14.273999999999987,-1.8979999999999972,-6.630000000000006
1.12,-1.3002999999999976,-0.23310000000000042,-0.0015000000000032765,13.093999999999985,-7.2370000000000045,-1.0419999999999672,13.093999999999985,-1.648999999999997,-7.058000000000003
1.1300000000000001,-1.0852999999999975,-0.2608000000000001,-0.2731000000000024,11.770999999999985,-7.398999999999996,1.813000000000029,11.770999999999985,-1.46,-7.24
1.1400000000000001,-0.8586999999999976,-0.26079999999999987,-0.48260000000000214,10.359999999999982,-7.155,4.240000000000022,10.359999999999982,-1.3189999999999948,-7.173999999999998
1.1500000000000001,-0.6679999999999986,-0.24349999999999972,-0.6581000000000015,8.861999999999986,-7.199000000000001,6.18000000000002,8.861999999999986,-0.9359999999999981,-6.917999999999996
1.1600000000000001,-0.5653999999999992,-0.2100999999999994,-0.7789000000000009,7.880999999999997,-7.283000000000002,7.803000000000014,7.880999999999997,-0.7709999999999986,-6.565999999999995
1.1700000000000002,-0.5141999999999998,-0.1492999999999991,-0.8541000000000006,7.6800000000000015,-7.547000000000004,8.91100000000001,7.6800000000000015,-0.6679999999999996,-6.191999999999996
1.1800000000000002,-0.49269999999999986,-0.05949999999999872,-0.9063000000000004,7.858000000000004,-8.024000000000008,9.712000000000007,7.858000000000004,-0.6640000000000009,-5.828999999999996
1.1900000000000002,-0.48363636363636353,0.04609090909091027,-0.9194545454545447,8.22454545454546,-8.745454545454557,10.299090909090916,8.22454545454546,-0.7281818181818186,-5.452727272727268
1.2000000000000002,-0.47577777777777736,0.1332222222222242,-0.8595555555555537,8.62111111111112,-9.52666666666668,10.538888888888875,8.62111111111112,-0.7611111111111122,-5.046666666666657
1.2100000000000002,-0.45254545454545414,0.22963636363636483,-0.7791818181818174,8.991818181818184,-10.158181818181827,9.957272727272722,8.991818181818184,-0.7945454545454543,-4.610909090909086
1.2200000000000002,-0.4263999999999996,0.31760000000000216,-0.7215999999999982,9.144000000000002,-10.780000000000014,9.545999999999992,9.144000000000002,-0.7559999999999973,-4.255999999999993
1.2300000000000002,-0.4132000000000001,0.4200000000000027,-0.6501999999999989,9.248000000000005,-11.412000000000017,9.103999999999989,9.248000000000005,-0.6319999999999969,-3.9619999999999957
1.2400000000000002,-0.4214000000000004,0.5402000000000027,-0.6075999999999996,9.518000000000008,-12.200000000000019,8.639999999999995,9.518000000000008,-0.4939999999999971,-3.7979999999999987
1.2500000000000002,-0.4370000000000002,0.6534000000000019,-0.5938,9.92400000000001,-13.09600000000002,8.488000000000001,9.92400000000001,-0.3619999999999969,-3.7479999999999998
1.2600000000000002,-0.4403999999999995,0.7296000000000011,-0.5948000000000002,10.360000000000007,-13.876000000000008,8.554000000000004,10.360000000000007,-0.22799999999999757,-3.738
1.2700000000000002,-0.41859999999999964,0.762399999999999,-0.6106000000000009,10.602,-14.206000000000003,8.732000000000005,10.602,-0.17800000000000424,-3.695999999999996
