time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
1.0,-1.8749067226890745,0.17297310924369866,0.30532268907563076,-23.5091,3.8985,-4.177,-23.5091,0.4631,-6.4156
1.01,-1.8685,0.1794,0.3082,-17.9833,3.1256,-0.2114,-17.9833,0.42750995998221447,-6.308319875500223
1.02,-1.8685,0.1794,0.3082,-17.9833,3.1256,-0.2114,-17.9833,0.3833535827889319,-6.175217984061293
1.03,-1.8685,0.1794,0.3082,-17.9833,3.1256,-0.2114,-17.9833,0.3391972055956493,-6.042116092622362
1.04,-1.8685,0.1794,0.3082,-17.9833,3.1256,-0.2114,-17.9833,0.2950408284023667,-5.909014201183432
1.05,-1.8685,0.1794,0.3082,-17.9833,3.1256,-0.2114,-17.9833,0.2508844512090841,-5.775912309744501
1.06,-1.8685,0.1794,0.3082,-17.9833,3.1256,-0.2114,-17.9833,0.2067280740158015,-5.6428104183055705
1.07,-2.4757270180959967,1.2284738473642884,-0.055591471282459656,-17.9833,3.1256,-0.2114,-17.9833,0.2049,-5.6373
1.08,-2.5556,1.3015,-0.0986,-14.2881,3.906,3.4222,-14.2881,0.22225447037702,-5.299026822262113
1.09,-2.5556,1.3015,-0.0986,-14.2881,3.906,3.4222,-14.2881,0.2446704744806363,-4.86209427545524
1.1,-2.5556,1.3015,-0.0986,-14.2881,3.906,3.4222,-14.2881,0.2670864785842526,-4.425161728648367
1.11,-2.5556,1.3015,-0.0986,-14.2881,3.906,3.4222,-14.2881,0.2895024826878689,-3.988229181841494
1.12,-2.5556,1.3015,-0.0986,-14.2881,3.906,3.4222,-14.2881,0.31191848679148515,-3.551296635034621
1.1300000000000001,-2.5556,1.3015,-0.0986,-14.2881,3.906,3.4222,-14.2881,0.3343344908951015,-3.114364088227748
1.1400000000000001,-3.8353,2.7425,-0.7256,-15.459715191740443,9.41368362831872,2.007729203539788,-15.459715191740443,0.336,-3.0819
1.1500000000000001,-3.8707000432488545,2.7549281169449014,-0.7485165054926048,-15.8864,11.4195,1.4926,-15.8864,0.336,-3.0819
1.1600000000000001,-3.9149003719401443,2.7704458057261485,-0.7771299472363986,-15.8864,11.4195,1.4926,-15.8864,0.336,-3.0819
1.1700000000000002,-3.9591007006314336,2.7859634945073957,-0.8057433889801924,-15.8864,11.4195,1.4926,-15.8864,0.336,-3.0819
1.1800000000000002,-4.003301029322723,2.801481183288643,-0.8343568307239861,-15.8864,11.4195,1.4926,-15.8864,0.336,-3.0819
1.1900000000000002,-4.047501358014013,2.81699887206989,-0.8629702724677799,-15.8864,11.4195,1.4926,-15.8864,0.336,-3.0819
1.2000000000000002,-4.09391500974659,2.798465107212459,-0.9190218323586881,-15.8864,11.4195,1.4926,-15.8864,0.336,-3.0819
1.2100000000000002,-3.8587283482683437,2.0099509203196857,-1.1735291838217476,-15.8864,11.4195,1.4926,-15.8864,-0.5375,2.2404
