time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
1.0,0.11836871508379945,0.527309497206704,0.9908614525139673,-0.8201,0.5562,-0.4848,-0.8201,3.1749,-0.1063
1.01,0.19125680751173704,0.5394172855313701,1.0750527528809208,-0.8201,0.5562,-0.4848,-0.8201,3.1749,-0.1063
1.02,0.1771756662804173,0.5382718424101969,0.915408227114716,-0.8201,0.5562,-0.4848,-0.8201,3.1749,-0.1063
1.03,0.21746812620734088,0.4869193174500964,0.8764474565357371,-0.8201,0.5562,-0.4848,-0.8201,3.1749,-0.1063
1.04,0.23528978448275872,0.423083922413793,0.7697943103448274,-0.8201,0.5562,-0.4848,-0.8201,3.1749,-0.1063
1.05,0.16763740685544043,0.32239388971684124,0.684101639344263,-3.4749,0.7737,-1.1655,-3.4749,3.0218,1.3915
1.06,0.029589806835066963,0.2335596731054978,0.5974201188707281,-3.4749,0.7737,-1.1655,-3.4749,3.0218,1.3915
1.07,-0.03300546423811671,0.2279953798311864,0.5859876055086629,-3.4749,0.7737,-1.1655,-3.4749,3.0218,1.3915
1.08,-0.04541382007822684,0.2569839821195755,0.6044981560812072,-3.4749,0.7737,-1.1655,-3.4749,3.0218,1.3915
1.09,-0.050903363914373057,0.30159826707441445,0.6331848114169222,-3.4749,0.7737,-1.1655,-3.4749,3.0218,1.3915
1.1,-0.055817260061920025,0.3147,0.6955180340557298,-3.4749,0.7737,-1.1655,-3.4749,3.0218,1.3915
1.11,-0.077,0.3135,0.767,-3.4749,0.7737,-1.1655,-3.4749,2.5448126760562895,0.953255533199151
1.12,-0.10364550898203662,0.3213856287425148,0.7996215568862286,2.2824,2.1396,0.2046,2.2824,2.3225,0.749
1.1300000000000001,-0.14359444616816658,0.30509528389699025,0.8047546695625196,2.2824,2.1396,0.2046,2.2824,2.3225,0.749
1.1400000000000001,-0.1976805755395691,0.27970503597122254,0.7959,2.2824,2.1396,0.2046,2.2824,2.3225,0.749
1.1500000000000001,-0.22405036803364867,0.24881072555205025,0.7698698212407993,2.2824,2.1396,0.2046,2.2824,2.3225,0.749
1.1600000000000001,-0.16385419550172833,0.1745432958477486,0.7788175821799302,2.2824,2.1396,0.2046,2.2824,2.3225,0.749
1.1700000000000002,-0.1750075351213295,0.205876883780334,0.7885182630906765,2.2824,2.1396,0.2046,2.2824,2.3225,0.749
1.1800000000000002,-0.22250266632151233,0.2807529381309865,0.6294393217706433,1.3384,-0.2709,-2.5023,1.3384,2.7925,0.4838
1.1900000000000002,-0.2999124624624626,0.2717,0.7061031156156173,1.3384,-0.2709,-2.5023,1.3384,2.7925,0.4838
1.2000000000000002,-0.21583148880105243,0.2734383838383844,0.8368535353535376,1.3384,-0.2709,-2.5023,1.3384,2.7925,0.4838
