time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
1.0,-0.7139,-0.3758,0.0397,1.8075,0.2539,2.1843,1.8075,1.1493880902965343,2.736913473402894
1.01,-0.7139,-0.3758,0.0397,1.8075,0.2539,2.1843,1.8075,1.1198768174451994,2.721361771813607
1.02,-0.7139,-0.3758,0.0397,1.8075,0.2539,2.1843,1.8075,1.0903655445938647,2.7058100702243197
1.03,-0.6272,-0.4991,0.075,2.9329,-1.7173,2.6642,2.9329,1.1110003148378147,2.6525948268392026
1.04,-0.6272,-0.4991,0.075,2.9329,-1.7173,2.6642,2.9329,1.1412998440253022,2.5859300857860843
1.05,-0.6272,-0.4991,0.075,2.9329,-1.7173,2.6642,2.9329,1.1715993732127894,2.5192653447329665
1.06,-0.5195,-0.6112,0.0602,4.156,-3.5302,2.7524,4.156,1.169919319594953,2.4498144726712843
1.07,-0.5195,-0.6112,0.0602,4.156,-3.5302,2.7524,4.156,1.0566665215846491,2.3304919168591205
1.08,-0.5195,-0.6112,0.0602,4.156,-3.5302,2.7524,4.156,0.9434137235743452,2.211169361046957
1.09,-0.5195,-0.6112,0.0602,4.156,-3.5302,2.7524,4.156,0.8301609255640412,2.091846805234794
1.1,-0.3352,-0.6887,-0.1072,6.0512,-4.948,1.3622,6.0512,0.6549315639504115,1.8519419981199658
1.11,-0.3352,-0.6887,-0.1072,6.0512,-4.948,1.3622,6.0512,0.4355848745667083,1.542588846131245
1.12,-0.3352,-0.6887,-0.1072,6.0512,-4.948,1.3622,6.0512,0.21623818518300497,1.233235694142524
1.1300000000000001,-0.1674,-0.804,-0.1141,7.7529,-6.5323,1.3679,7.7529,0.06110977405575529,0.9409130114658232
1.1400000000000001,-0.1674,-0.804,-0.1141,7.7529,-6.5323,1.3679,7.7529,0.05034650966726609,0.5470562218974782
1.1500000000000001,-0.1674,-0.804,-0.1141,7.7529,-6.5323,1.3679,7.7529,0.03958324527877688,0.15319943232913313
1.1600000000000001,-0.1674,-0.804,-0.1141,7.7529,-6.5323,1.3679,7.7529,0.02881998089028768,-0.2406573572392119
1.1700000000000002,-0.3018,-0.7808,-0.0146,6.4299,-6.3364,2.3811,6.4299,0.05643991232132567,-0.49272726992066335
1.1800000000000002,-0.3018,-0.7808,-0.0146,6.4299,-6.3364,2.3811,6.4299,0.14124742057979187,-0.7848145781235569
1.1900000000000002,-0.3018,-0.7808,-0.0146,6.4299,-6.3364,2.3811,6.4299,0.2260549288382581,-1.0769018863264506
1.2000000000000002,-0.5517,-0.7473,0.004,3.8928,-5.7274,2.7255,3.8928,0.29917128658834297,-1.3312106109786586
1.2100000000000002,-0.5517,-0.7473,0.004,3.8928,-5.7274,2.7255,3.8928,0.25045385344555143,-1.446052767644272
1.2200000000000002,-0.5517,-0.7473,0.004,3.8928,-5.7274,2.7255,3.8928,0.2017364203027599,-1.5608949243098855
1.2300000000000002,-0.5517,-0.7473,0.004,3.8928,-5.7274,2.7255,3.8928,0.15301898715996834,-1.675737080975499
1.2400000000000002,-0.8205,-0.7779,0.0422,1.1268,-5.6207,3.2726,1.1268,0.09302790016855261,-1.7639473933228864
1.2500000000000002,-0.8205,-0.7779,0.0422,1.1268,-5.6207,3.2726,1.1268,-0.012155883135702789,-1.8605260372002264
1.2600000000000002,-0.8205,-0.7779,0.0422,1.1268,-5.6207,3.2726,1.1268,-0.11733966643995819,-1.9571046810775663
1.2700000000000002,-0.8205,-0.7779,0.0422,1.1268,-5.6207,3.2726,1.1268,-0.22252344974421356,-2.053683324954906
1.2800000000000002,-1.0552,-0.998,0.0746,-1.3144,-7.3461,3.7012,-1.3144,-0.32692222092854284,-2.1482126619123876
