time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
1.0,1.1703567659275729,0.07886403791025576,0.33739630843035134,0.5423,0.8582,2.1822,0.5423,-0.0692,-0.7563
1.01,1.1876984556364345,0.08439886385992512,0.3084830464292736,0.5423,0.8582,2.1822,0.5423,-0.0692,-0.7563
1.02,1.157696488294314,0.07825091973244136,0.28167801003344434,0.5423,0.8582,2.1822,0.5423,-0.0692,-0.7563
1.03,1.135,0.0736,0.2614,0.5423,0.8582,2.1822,0.5423,-0.06981731524908104,-0.7904375332741816
1.04,1.135,0.0736,0.2614,0.5423,0.8582,2.1822,0.5423,-0.07235249080998862,-0.9306327417923711
1.05,1.1073,0.0488,0.239,1.0521415504930425,0.15616409384561303,1.68076742604555,1.0521415504930425,-0.0732,-0.9775
1.06,1.151044879184862,0.04717781659388645,0.23440381368267826,1.2153,-0.0685,1.5203,1.2153,-0.0732,-0.9775
1.07,1.1870958924570574,0.04684101568334583,0.2335389245705752,1.2153,-0.0685,1.5203,1.2153,-0.0732,-0.9775
1.08,1.1818681105302464,0.05177006721433908,0.24792777196913127,1.2153,-0.0685,1.5203,1.2153,-0.0732,-0.9775
1.09,1.1777,0.0557,0.2594,1.2153,-0.0685,1.5203,1.2153,-0.08698478531593493,-1.0343732145757762
1.1,1.1777,0.0557,0.2594,1.2153,-0.0685,1.5203,1.2153,-0.15499063295251575,-1.3149514808598224
1.11,1.2481543299957392,0.07294005112910053,0.23450351512569192,1.2153,-0.0685,1.5203,1.2153,-0.1988,-1.4957
1.12,1.2468228429910524,0.050784107371111734,0.21128238176395367,1.2153,-0.0685,1.5203,1.2153,-0.1988,-1.4957
1.1300000000000001,1.2457,0.0321,0.1917,1.4627635648399449,-0.3640873846988725,0.7997605805751202,1.4627635648399449,-0.1988,-1.4957
1.1400000000000001,1.253284956836211,0.044649655856276414,0.189769283714419,1.7974,-0.7638,-0.1746,1.7974,-0.1988,-1.4957
1.1500000000000001,1.2622,0.0594,0.1875,1.7974,-0.7638,-0.1746,1.7974,-0.18516696858340273,-1.5181750478753753
1.1600000000000001,1.2622,0.0594,0.1875,1.7974,-0.7638,-0.1746,1.7974,-0.00018689508824110135,-1.8231282076497157
1.1700000000000002,1.2079566149506251,0.06371390691114323,0.1916141889985903,1.7974,-0.7638,-0.1746,1.7974,0.1586,-2.0849
1.1800000000000002,1.0716630866907957,0.06188671453153722,0.21419305168219346,1.7974,-0.7638,-0.1746,1.7974,0.1586,-2.0849
1.1900000000000002,1.0092,0.0524,0.2329,2.0470565441429427,-1.2283521126761239,-0.24863318447270052,2.0470565441429427,0.1586,-2.0849
1.2000000000000002,0.994182636731344,0.0367173105105807,0.2515291341813708,2.5113,-2.0922,-0.3863,2.5113,0.1586,-2.0849
1.2100000000000002,0.9739505845056463,0.018455201109569892,0.2721103824053894,2.5113,-2.0922,-0.3863,2.5113,0.1586,-2.0849
1.2200000000000002,0.9391279175747961,0.009439944521497705,0.27220945115910444,2.5113,-2.0922,-0.3863,2.5113,0.1586,-2.0849
1.2300000000000002,0.9073,0.0012,0.2723,2.5113,-2.0922,-0.3863,2.5113,0.1529872774267642,-2.0998672601952957
1.2400000000000002,0.9073,0.0012,0.2723,2.5113,-2.0922,-0.3863,2.5113,0.0877230614589293,-2.2739051694428554
1.2500000000000002,0.9072212371133969,0.0011594501718186407,0.2722366323024013,2.542,-3.3794,-0.5836,2.542,0.0677,-2.3273
1.2600000000000002,0.83508047858942,-0.036451517963675295,0.2063820893543674,2.542,-3.3794,-0.5836,2.542,0.0677,-2.3273
1.2700000000000002,0.8100915832575069,-0.05037775250227495,0.17143248407643213,2.542,-3.3794,-0.5836,2.542,0.0677,-2.3273
1.2800000000000002,0.8099399302396117,-0.05538230209281181,0.13958535031847027,2.542,-3.3794,-0.5836,2.542,0.0677,-2.3273
1.2900000000000003,0.8098,-0.06,0.1102,2.542,-3.3794,-0.5836,2.542,0.05725621651241602,-2.285576637847034
1.3000000000000003,0.8098,-0.06,0.1102,2.542,-3.3794,-0.5836,2.542,-0.07785094374087202,-1.7458177484169308
1.3100000000000003,0.8801491997081018,-0.10412541960593574,0.09379470688396903,2.542,-3.3794,-0.5836,2.542,-0.1542,-1.4408
1.3200000000000003,0.9364858574556083,-0.12017990756506972,0.06518852833860306,2.542,-3.3794,-0.5836,2.542,-0.1542,-1.4408
1.3300000000000003,0.992,-0.136,0.037,2.449832993085146,-3.448876193612219,-0.547722555153059,2.449832993085146,-0.1542,-1.4408
1.3400000000000003,0.992,-0.136,0.037,0.6248,-4.8246,0.1627,0.6248,-0.1542,-1.4408
1.3500000000000003,0.992,-0.136,0.037,0.6248,-4.8246,0.1627,0.6248,-0.1731698464636365,-1.3492194966020303
1.3600000000000003,0.992,-0.136,0.037,0.6248,-4.8246,0.1627,0.6248,-0.3604338786811044,-0.44516714321667916
1.3700000000000003,1.0148060938452237,-0.16003034734918503,0.031963071297987415,0.6248,-4.8246,0.1627,0.6248,-0.5262,0.3551
1.3800000000000003,1.0630361643527628,-0.16260887527401321,0.10253776628632782,0.6248,-4.8246,0.1627,0.6248,-0.5262,0.3551
1.3900000000000003,1.0704,-0.1095,0.2034,0.6085061543366763,-4.845105420918441,0.14093182397951387,0.6085061543366763,-0.5262,0.3551
1.4000000000000004,1.0761482367830641,-0.08534942184893189,0.1960550307771958,-0.0565,-5.682,-0.7475,-0.0565,-0.5262,0.3551
